agent_a,agent_b,tier_a,tier_b,seed,seat_of_a,bank_a,bank_b,margin_a,winner
fallow_finn,wheat_walter,0,1,7000,0,3000,6982,-3982,wheat_walter
fallow_finn,wheat_walter,0,1,7000,1,3000,7074,-4074,wheat_walter
fallow_finn,wheat_walter,0,1,7001,0,3000,7014,-4014,wheat_walter
fallow_finn,wheat_walter,0,1,7001,1,3000,7149,-4149,wheat_walter
fallow_finn,wheat_walter,0,1,7002,0,3000,7433,-4433,wheat_walter
fallow_finn,wheat_walter,0,1,7002,1,3000,7418,-4418,wheat_walter
fallow_finn,rotation_rosa,0,2,7000,0,3000,11831,-8831,rotation_rosa
fallow_finn,rotation_rosa,0,2,7000,1,3000,11821,-8821,rotation_rosa
fallow_finn,rotation_rosa,0,2,7001,0,3000,12650,-9650,rotation_rosa
fallow_finn,rotation_rosa,0,2,7001,1,3000,12640,-9640,rotation_rosa
fallow_finn,rotation_rosa,0,2,7002,0,3000,12260,-9260,rotation_rosa
fallow_finn,rotation_rosa,0,2,7002,1,3000,12260,-9260,rotation_rosa
fallow_finn,homestead_hana,0,3,7000,0,3000,17157,-14157,homestead_hana
fallow_finn,homestead_hana,0,3,7000,1,3000,17270,-14270,homestead_hana
fallow_finn,homestead_hana,0,3,7001,0,3000,17445,-14445,homestead_hana
fallow_finn,homestead_hana,0,3,7001,1,3000,15007,-12007,homestead_hana
fallow_finn,homestead_hana,0,3,7002,0,3000,17917,-14917,homestead_hana
fallow_finn,homestead_hana,0,3,7002,1,3000,17926,-14926,homestead_hana
fallow_finn,melon_mateo,0,4,7000,0,3000,16620,-13620,melon_mateo
fallow_finn,melon_mateo,0,4,7000,1,3000,16620,-13620,melon_mateo
fallow_finn,melon_mateo,0,4,7001,0,3000,16935,-13935,melon_mateo
fallow_finn,melon_mateo,0,4,7001,1,3000,25310,-22310,melon_mateo
fallow_finn,melon_mateo,0,4,7002,0,3000,43161,-40161,melon_mateo
fallow_finn,melon_mateo,0,4,7002,1,3000,43161,-40161,melon_mateo
fallow_finn,rancher_rita,0,5,7000,0,3000,46484,-43484,rancher_rita
fallow_finn,rancher_rita,0,5,7000,1,3000,46436,-43436,rancher_rita
fallow_finn,rancher_rita,0,5,7001,0,3000,59174,-56174,rancher_rita
fallow_finn,rancher_rita,0,5,7001,1,3000,57234,-54234,rancher_rita
fallow_finn,rancher_rita,0,5,7002,0,3000,50840,-47840,rancher_rita
fallow_finn,rancher_rita,0,5,7002,1,3000,50789,-47789,rancher_rita
fallow_finn,broker_bea,0,6,7000,0,3000,172871,-169871,broker_bea
fallow_finn,broker_bea,0,6,7000,1,3000,180816,-177816,broker_bea
fallow_finn,broker_bea,0,6,7001,0,3000,194032,-191032,broker_bea
fallow_finn,broker_bea,0,6,7001,1,3000,194081,-191081,broker_bea
fallow_finn,broker_bea,0,6,7002,0,3000,194578,-191578,broker_bea
fallow_finn,broker_bea,0,6,7002,1,3000,193646,-190646,broker_bea
fallow_finn,slotter_silas,0,8,7000,0,3000,172108,-169108,slotter_silas
fallow_finn,slotter_silas,0,8,7000,1,3000,180033,-177033,slotter_silas
fallow_finn,slotter_silas,0,8,7001,0,3000,192895,-189895,slotter_silas
fallow_finn,slotter_silas,0,8,7001,1,3000,192945,-189945,slotter_silas
fallow_finn,slotter_silas,0,8,7002,0,3000,193745,-190745,slotter_silas
fallow_finn,slotter_silas,0,8,7002,1,3000,192814,-189814,slotter_silas
fallow_finn,ledger_lena,0,7,7000,0,3000,173106,-170106,ledger_lena
fallow_finn,ledger_lena,0,7,7000,1,3000,180910,-177910,ledger_lena
fallow_finn,ledger_lena,0,7,7001,0,3000,194535,-191535,ledger_lena
fallow_finn,ledger_lena,0,7,7001,1,3000,194584,-191584,ledger_lena
fallow_finn,ledger_lena,0,7,7002,0,3000,195056,-192056,ledger_lena
fallow_finn,ledger_lena,0,7,7002,1,3000,193360,-190360,ledger_lena
fallow_finn,closer_cleo,0,9,7000,0,3000,174655,-171655,closer_cleo
fallow_finn,closer_cleo,0,9,7000,1,3000,184786,-181786,closer_cleo
fallow_finn,closer_cleo,0,9,7001,0,3000,191463,-188463,closer_cleo
fallow_finn,closer_cleo,0,9,7001,1,3000,191458,-188458,closer_cleo
fallow_finn,closer_cleo,0,9,7002,0,3000,185845,-182845,closer_cleo
fallow_finn,closer_cleo,0,9,7002,1,3000,184139,-181139,closer_cleo
wheat_walter,rotation_rosa,1,2,7000,0,6387,11654,-5267,rotation_rosa
wheat_walter,rotation_rosa,1,2,7000,1,6387,11644,-5257,rotation_rosa
wheat_walter,rotation_rosa,1,2,7001,0,6940,12340,-5400,rotation_rosa
wheat_walter,rotation_rosa,1,2,7001,1,6592,11628,-5036,rotation_rosa
wheat_walter,rotation_rosa,1,2,7002,0,6173,11180,-5007,rotation_rosa
wheat_walter,rotation_rosa,1,2,7002,1,6173,11180,-5007,rotation_rosa
wheat_walter,homestead_hana,1,3,7000,0,6562,16654,-10092,homestead_hana
wheat_walter,homestead_hana,1,3,7000,1,6407,16549,-10142,homestead_hana
wheat_walter,homestead_hana,1,3,7001,0,6673,14890,-8217,homestead_hana
wheat_walter,homestead_hana,1,3,7001,1,6312,15565,-9253,homestead_hana
wheat_walter,homestead_hana,1,3,7002,0,7008,16324,-9316,homestead_hana
wheat_walter,homestead_hana,1,3,7002,1,7018,16621,-9603,homestead_hana
wheat_walter,melon_mateo,1,4,7000,0,6416,16535,-10119,melon_mateo
wheat_walter,melon_mateo,1,4,7000,1,6416,16535,-10119,melon_mateo
wheat_walter,melon_mateo,1,4,7001,0,7207,39184,-31977,melon_mateo
wheat_walter,melon_mateo,1,4,7001,1,6971,25257,-18286,melon_mateo
wheat_walter,melon_mateo,1,4,7002,0,6585,16593,-10008,melon_mateo
wheat_walter,melon_mateo,1,4,7002,1,6803,14837,-8034,melon_mateo
wheat_walter,rancher_rita,1,5,7000,0,6618,47822,-41204,rancher_rita
wheat_walter,rancher_rita,1,5,7000,1,6618,47812,-41194,rancher_rita
wheat_walter,rancher_rita,1,5,7001,0,6770,43394,-36624,rancher_rita
wheat_walter,rancher_rita,1,5,7001,1,4754,52453,-47699,rancher_rita
wheat_walter,rancher_rita,1,5,7002,0,6492,45990,-39498,rancher_rita
wheat_walter,rancher_rita,1,5,7002,1,6492,45990,-39498,rancher_rita
wheat_walter,broker_bea,1,6,7000,0,7548,198175,-190627,broker_bea
wheat_walter,broker_bea,1,6,7000,1,7548,198127,-190579,broker_bea
wheat_walter,broker_bea,1,6,7001,0,7754,174151,-166397,broker_bea
wheat_walter,broker_bea,1,6,7001,1,5202,168421,-163219,broker_bea
wheat_walter,broker_bea,1,6,7002,0,7747,171263,-163516,broker_bea
wheat_walter,broker_bea,1,6,7002,1,7667,177727,-170060,broker_bea
wheat_walter,slotter_silas,1,8,7000,0,7548,197404,-189856,slotter_silas
wheat_walter,slotter_silas,1,8,7000,1,7548,197356,-189808,slotter_silas
wheat_walter,slotter_silas,1,8,7001,0,7754,173296,-165542,slotter_silas
wheat_walter,slotter_silas,1,8,7001,1,5202,167201,-161999,slotter_silas
wheat_walter,slotter_silas,1,8,7002,0,7747,170333,-162586,slotter_silas
wheat_walter,slotter_silas,1,8,7002,1,7667,176855,-169188,slotter_silas
wheat_walter,ledger_lena,1,7,7000,0,7555,198671,-191116,ledger_lena
wheat_walter,ledger_lena,1,7,7000,1,7555,198621,-191066,ledger_lena
wheat_walter,ledger_lena,1,7,7001,0,7756,174598,-166842,ledger_lena
wheat_walter,ledger_lena,1,7,7001,1,5202,168254,-163052,ledger_lena
wheat_walter,ledger_lena,1,7,7002,0,7762,171263,-163501,ledger_lena
wheat_walter,ledger_lena,1,7,7002,1,7677,177221,-169544,ledger_lena
wheat_walter,closer_cleo,1,9,7000,0,7621,197717,-190096,closer_cleo
wheat_walter,closer_cleo,1,9,7000,1,7621,197710,-190089,closer_cleo
wheat_walter,closer_cleo,1,9,7001,0,7908,187958,-180050,closer_cleo
wheat_walter,closer_cleo,1,9,7001,1,7715,183791,-176076,closer_cleo
wheat_walter,closer_cleo,1,9,7002,0,7715,175604,-167889,closer_cleo
wheat_walter,closer_cleo,1,9,7002,1,7621,179472,-171851,closer_cleo
rotation_rosa,homestead_hana,2,3,7000,0,9989,11106,-1117,homestead_hana
rotation_rosa,homestead_hana,2,3,7000,1,9989,11106,-1117,homestead_hana
rotation_rosa,homestead_hana,2,3,7001,0,11513,13887,-2374,homestead_hana
rotation_rosa,homestead_hana,2,3,7001,1,11398,14640,-3242,homestead_hana
rotation_rosa,homestead_hana,2,3,7002,0,9513,12038,-2525,homestead_hana
rotation_rosa,homestead_hana,2,3,7002,1,9921,12987,-3066,homestead_hana
rotation_rosa,melon_mateo,2,4,7000,0,11583,16558,-4975,melon_mateo
rotation_rosa,melon_mateo,2,4,7000,1,11593,16558,-4965,melon_mateo
rotation_rosa,melon_mateo,2,4,7001,0,11570,21229,-9659,melon_mateo
rotation_rosa,melon_mateo,2,4,7001,1,11798,25015,-13217,melon_mateo
rotation_rosa,melon_mateo,2,4,7002,0,11653,14818,-3165,melon_mateo
rotation_rosa,melon_mateo,2,4,7002,1,11803,14758,-2955,melon_mateo
rotation_rosa,rancher_rita,2,5,7000,0,12505,53278,-40773,rancher_rita
rotation_rosa,rancher_rita,2,5,7000,1,12515,53231,-40716,rancher_rita
rotation_rosa,rancher_rita,2,5,7001,0,13027,58065,-45038,rancher_rita
rotation_rosa,rancher_rita,2,5,7001,1,13027,58608,-45581,rancher_rita
rotation_rosa,rancher_rita,2,5,7002,0,13045,47021,-33976,rancher_rita
rotation_rosa,rancher_rita,2,5,7002,1,13045,47021,-33976,rancher_rita
rotation_rosa,broker_bea,2,6,7000,0,13754,193116,-179362,broker_bea
rotation_rosa,broker_bea,2,6,7000,1,13764,193260,-179496,broker_bea
rotation_rosa,broker_bea,2,6,7001,0,13701,172346,-158645,broker_bea
rotation_rosa,broker_bea,2,6,7001,1,13701,172250,-158549,broker_bea
rotation_rosa,broker_bea,2,6,7002,0,13712,169060,-155348,broker_bea
rotation_rosa,broker_bea,2,6,7002,1,13723,174212,-160489,broker_bea
rotation_rosa,slotter_silas,2,8,7000,0,13754,192039,-178285,slotter_silas
